input position,input joint,output joint
"(-2.0, -0.0)","(-3.14, -3.14)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.13, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.14, -3.13)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.19, -3.11)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.14, -3.09)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.14, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.1, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.13, -3.15)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.1, -3.15)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.17, -3.13)","(-3.14, -3.14)"
"(-1.95, -0.32)","(-3.1, -2.81)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.13, -2.79)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.17, -2.79)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.16, -2.79)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.1, -2.77)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.13, -2.85)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.1, -2.85)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.18, -2.81)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.12, -2.8)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.17, -2.79)","(-3.14, -2.81)"
"(-1.79, -0.61)","(-3.15, -2.51)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.13, -2.46)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.09, -2.44)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.15, -2.48)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.16, -2.53)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.17, -2.5)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.11, -2.51)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.11, -2.45)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.15, -2.46)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.14, -2.52)","(-3.14, -2.48)"
"(-1.55, -0.84)","(-3.18, -2.12)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.14, -2.15)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.19, -2.11)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.12, -2.13)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.12, -2.12)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.1, -2.13)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.14, -2.19)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.18, -2.15)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.11, -2.13)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.17, -2.14)","(-3.14, -2.15)"
"(-1.25, -0.97)","(-3.13, -1.8)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.19, -1.82)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.15, -1.83)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.11, -1.81)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.16, -1.82)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.09, -1.85)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.09, -1.86)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.15, -1.8)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.12, -1.83)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.12, -1.85)","(-3.14, -1.82)"
"(-0.92, -1.0)","(-3.11, -1.45)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.14, -1.49)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.11, -1.5)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.14, -1.52)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.13, -1.49)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.13, -1.49)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.17, -1.5)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.17, -1.5)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.1, -1.45)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.15, -1.53)","(-3.14, -1.49)"
"(-0.6, -0.92)","(-3.12, -1.18)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.14, -1.15)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.16, -1.18)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.11, -1.12)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.11, -1.12)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.11, -1.18)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.18, -1.14)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.17, -1.2)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.13, -1.19)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.18, -1.2)","(-3.14, -1.16)"
"(-0.32, -0.74)","(-3.16, -0.83)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.18, -0.86)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.12, -0.82)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.09, -0.8)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.16, -0.86)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.17, -0.82)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.12, -0.88)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.18, -0.81)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.15, -0.84)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.19, -0.81)","(-3.14, -0.83)"
"(-0.12, -0.48)","(-3.1, -0.53)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.13, -0.51)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.09, -0.49)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.1, -0.51)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.14, -0.53)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.16, -0.49)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.13, -0.51)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.18, -0.53)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.14, -0.49)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.09, -0.46)","(-3.14, -0.5)"
"(-0.01, -0.16)","(-3.17, -0.14)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.17, -0.17)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.17, -0.19)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.14, -0.16)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.15, -0.2)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.18, -0.19)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.1, -0.12)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.1, -0.13)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.13, -0.14)","(-3.14, -0.17)"
"(-0.01, -0.16)","(-3.19, -0.12)","(-3.14, -0.17)"
"(-0.01, 0.16)","(-3.11, 0.2)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.14, 0.13)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.18, 0.13)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.11, 0.17)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.16, 0.15)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.12, 0.15)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.16, 0.14)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.1, 0.15)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.17, 0.12)","(-3.14, 0.17)"
"(-0.01, 0.16)","(-3.12, 0.14)","(-3.14, 0.17)"
"(-0.12, 0.48)","(-3.14, 0.47)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.17, 0.47)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.16, 0.53)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.17, 0.49)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.15, 0.45)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.17, 0.46)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.16, 0.48)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.18, 0.53)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.17, 0.46)","(-3.14, 0.5)"
"(-0.12, 0.48)","(-3.12, 0.49)","(-3.14, 0.5)"
"(-0.32, 0.74)","(-3.13, 0.86)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.17, 0.87)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.1, 0.78)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.1, 0.8)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.16, 0.83)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.18, 0.87)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.18, 0.87)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.17, 0.82)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.16, 0.82)","(-3.14, 0.83)"
"(-0.32, 0.74)","(-3.1, 0.83)","(-3.14, 0.83)"
"(-0.6, 0.92)","(-3.1, 1.16)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.15, 1.14)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.12, 1.15)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.13, 1.16)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.17, 1.14)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.13, 1.17)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.19, 1.16)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.15, 1.2)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.16, 1.21)","(-3.14, 1.16)"
"(-0.6, 0.92)","(-3.12, 1.17)","(-3.14, 1.16)"
"(-0.92, 1.0)","(-3.14, 1.47)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.1, 1.46)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.16, 1.44)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.11, 1.48)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.1, 1.48)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.14, 1.53)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.16, 1.48)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.16, 1.45)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.12, 1.48)","(-3.14, 1.49)"
"(-0.92, 1.0)","(-3.12, 1.46)","(-3.14, 1.49)"
"(-1.25, 0.97)","(-3.11, 1.86)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.11, 1.77)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.09, 1.8)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.16, 1.82)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.18, 1.84)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.16, 1.81)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.15, 1.82)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.16, 1.85)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.16, 1.82)","(-3.14, 1.82)"
"(-1.25, 0.97)","(-3.15, 1.84)","(-3.14, 1.82)"
"(-1.55, 0.84)","(-3.1, 2.18)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.11, 2.13)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.12, 2.12)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.16, 2.18)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.15, 2.18)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.18, 2.2)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.15, 2.2)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.19, 2.19)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.16, 2.16)","(-3.14, 2.15)"
"(-1.55, 0.84)","(-3.14, 2.11)","(-3.14, 2.15)"
"(-1.79, 0.61)","(-3.1, 2.5)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.14, 2.44)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.17, 2.43)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.17, 2.45)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.15, 2.44)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.1, 2.46)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.13, 2.47)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.17, 2.5)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.18, 2.44)","(-3.14, 2.48)"
"(-1.79, 0.61)","(-3.18, 2.49)","(-3.14, 2.48)"
"(-1.95, 0.32)","(-3.18, 2.84)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.17, 2.84)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.13, 2.8)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.16, 2.78)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.18, 2.78)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.14, 2.85)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.18, 2.78)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.1, 2.79)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.12, 2.79)","(-3.14, 2.81)"
"(-1.95, 0.32)","(-3.13, 2.85)","(-3.14, 2.81)"
"(-2.0, 0.0)","(-3.17, 3.17)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.19, 3.18)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.13, 3.09)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.11, 3.13)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.14, 3.12)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.12, 3.17)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.11, 3.15)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.17, 3.18)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.13, 3.18)","(-3.14, 3.14)"
"(-2.0, 0.0)","(-3.16, 3.13)","(-3.14, 3.14)"
"(-1.95, -0.32)","(-2.77, -3.15)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.81, -3.12)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.84, -3.14)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.79, -3.16)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.82, -3.12)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.8, -3.11)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.77, -3.16)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.78, -3.17)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.81, -3.17)","(-2.81, -3.14)"
"(-1.95, -0.32)","(-2.79, -3.09)","(-2.81, -3.14)"
"(-1.89, -0.65)","(-2.77, -2.78)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.76, -2.79)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.77, -2.85)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.79, -2.85)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.81, -2.79)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.81, -2.82)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.83, -2.84)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.81, -2.79)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.82, -2.8)","(-2.81, -2.81)"
"(-1.89, -0.65)","(-2.86, -2.77)","(-2.81, -2.81)"
"(-1.73, -0.94)","(-2.79, -2.49)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.8, -2.51)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.78, -2.44)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.85, -2.49)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.76, -2.49)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.82, -2.48)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.79, -2.48)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.86, -2.5)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.84, -2.53)","(-2.81, -2.48)"
"(-1.73, -0.94)","(-2.84, -2.48)","(-2.81, -2.48)"
"(-1.49, -1.16)","(-2.85, -2.2)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.82, -2.11)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.85, -2.12)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.82, -2.18)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.77, -2.15)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.79, -2.19)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.84, -2.1)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.85, -2.15)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.84, -2.18)","(-2.81, -2.15)"
"(-1.49, -1.16)","(-2.8, -2.18)","(-2.81, -2.15)"
"(-1.19, -1.29)","(-2.77, -1.83)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.78, -1.79)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.86, -1.77)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.86, -1.83)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.78, -1.84)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.77, -1.8)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.85, -1.78)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.85, -1.8)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.8, -1.83)","(-2.81, -1.82)"
"(-1.19, -1.29)","(-2.84, -1.86)","(-2.81, -1.82)"
"(-0.86, -1.32)","(-2.86, -1.48)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.79, -1.49)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.79, -1.53)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.86, -1.44)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.82, -1.5)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.85, -1.49)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.77, -1.46)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.8, -1.49)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.79, -1.53)","(-2.81, -1.49)"
"(-0.86, -1.32)","(-2.77, -1.53)","(-2.81, -1.49)"
"(-0.54, -1.24)","(-2.86, -1.11)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.8, -1.17)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.8, -1.18)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.8, -1.19)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.82, -1.14)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.81, -1.11)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.78, -1.16)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.79, -1.18)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.8, -1.14)","(-2.81, -1.16)"
"(-0.54, -1.24)","(-2.81, -1.17)","(-2.81, -1.16)"
"(-0.27, -1.06)","(-2.85, -0.87)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.85, -0.83)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.81, -0.84)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.81, -0.8)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.76, -0.78)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.82, -0.82)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.86, -0.79)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.78, -0.84)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.76, -0.78)","(-2.81, -0.83)"
"(-0.27, -1.06)","(-2.83, -0.79)","(-2.81, -0.83)"
"(-0.07, -0.8)","(-2.81, -0.52)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.8, -0.47)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.81, -0.53)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.81, -0.51)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.83, -0.5)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.79, -0.52)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.85, -0.5)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.84, -0.49)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.84, -0.46)","(-2.81, -0.5)"
"(-0.07, -0.8)","(-2.84, -0.5)","(-2.81, -0.5)"
"(0.04, -0.49)","(-2.77, -0.2)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.79, -0.13)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.8, -0.21)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.83, -0.17)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.78, -0.19)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.78, -0.12)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.79, -0.21)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.8, -0.15)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.81, -0.16)","(-2.81, -0.17)"
"(0.04, -0.49)","(-2.78, -0.19)","(-2.81, -0.17)"
"(0.04, -0.16)","(-2.8, 0.15)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.83, 0.16)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.79, 0.17)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.84, 0.13)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.84, 0.19)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.76, 0.19)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.79, 0.19)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.84, 0.22)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.81, 0.17)","(-2.81, 0.17)"
"(0.04, -0.16)","(-2.79, 0.19)","(-2.81, 0.17)"
"(-0.07, 0.15)","(-2.77, 0.49)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.85, 0.49)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.83, 0.51)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.86, 0.5)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.83, 0.54)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.81, 0.49)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.76, 0.53)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.85, 0.48)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.82, 0.45)","(-2.81, 0.5)"
"(-0.07, 0.15)","(-2.8, 0.53)","(-2.81, 0.5)"
"(-0.27, 0.41)","(-2.81, 0.85)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.77, 0.87)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.84, 0.86)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.78, 0.78)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.84, 0.85)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.78, 0.85)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.78, 0.78)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.76, 0.85)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.81, 0.86)","(-2.81, 0.83)"
"(-0.27, 0.41)","(-2.84, 0.82)","(-2.81, 0.83)"
"(-0.54, 0.59)","(-2.83, 1.18)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.76, 1.19)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.8, 1.11)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.8, 1.14)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.85, 1.13)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.78, 1.16)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.84, 1.17)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.79, 1.12)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.77, 1.21)","(-2.81, 1.16)"
"(-0.54, 0.59)","(-2.76, 1.18)","(-2.81, 1.16)"
"(-0.86, 0.67)","(-2.76, 1.48)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.82, 1.44)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.78, 1.53)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.79, 1.45)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.82, 1.44)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.79, 1.44)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.82, 1.44)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.78, 1.45)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.8, 1.53)","(-2.81, 1.49)"
"(-0.86, 0.67)","(-2.76, 1.49)","(-2.81, 1.49)"
"(-1.19, 0.64)","(-2.79, 1.83)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.83, 1.83)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.76, 1.87)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.82, 1.86)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.81, 1.77)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.82, 1.81)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.82, 1.85)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.83, 1.81)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.85, 1.85)","(-2.81, 1.82)"
"(-1.19, 0.64)","(-2.83, 1.85)","(-2.81, 1.82)"
"(-1.49, 0.51)","(-2.77, 2.1)","(-2.81, 2.15)"
"(-1.49, 0.51)","(-2.77, 2.11)","(-2.81, 2.15)"
"(-1.49, 0.51)","(-2.79, 2.16)","(-2.81, 2.15)"
"(-1.49, 0.51)","(-2.82, 2.15)","(-2.81, 2.15)"
"(-1.49, 0.51)","(-2.78, 2.19)","(-2.81, 2.15)"
"(-1.49, 0.51)","(-2.84, 2.13)","(-2.81, 2.15)"
"(-1.49, 0.51)","(-2.84, 2.17)","(-2.81, 2.15)"
"(-1.49, 0.51)","(-2.77, 2.1)","(-2.81, 2.15)"
